BGC	Accesion ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
ABYX02000001.1.region019	ABYX02000001.1	ABYX02000001.1 Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	oligosaccharide.T1PKS	Others		
AUKR01000035.1.region001	AUKR01000035.1	AUKR01000035.1 Streptomyces sp. TAA040 H300DRAFT_scaffold00033.33_C, whole genome shotgun sequence	oligosaccharide	Saccharides		
BGC0000002.1	BGC0000002.1	Aculeximycin biosynthetic gene cluster	t1pks.oligosaccharide	Others	Kutzneria albida DSM 43870	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardineae,Pseudonocardiaceae,Kutzneria
BGC0000026.1	BGC0000026.1	Avilamycin A biosynthetic gene cluster	t1pks.oligosaccharide	Others	Streptomyces viridochromogenes Tue57	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000033.1	BGC0000033.1	Calicheamicin biosynthetic gene cluster	t1pks.oligosaccharide	Others	Micromonospora echinospora	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporineae,Micromonosporaceae,Micromonospora
BGC0000078.1	BGC0000078.1	Incednine biosynthetic gene cluster	t1pks.oligosaccharide	Others	Streptomyces sp. ML694-90F3	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000082.1	BGC0000082.1	Kijanimicin biosynthetic gene cluster	t1pks.oligosaccharide	Others	Actinomadura kijaniata	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptosporangineae,Thermomonosporaceae,Actinomadura
BGC0000199.1	BGC0000199.1	Arimetamycin biosynthetic gene cluster	t2pks.oligosaccharide	Others	uncultured bacterium	Bacteria,environmental samples
BGC0000210.1	BGC0000210.1	Chromomycin A3 biosynthetic gene cluster	t2pks.oligosaccharide	Others	Streptomyces griseus subsp. griseus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000229.1	BGC0000229.1	Grincamycin biosynthetic gene cluster	t2pks.oligosaccharide	Others	Streptomyces lusitanus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
