	Compound_Name	SpectrumID
5	Hectochlorin	CCMSLIB00000001552
6	Hectochlorin	CCMSLIB00000001553
8	Hectochlorin	CCMSLIB00000001555
9	Cyclomarin A	CCMSLIB00000001556
11	Hectochlorin	CCMSLIB00000001558
13	Jamaicamide A	CCMSLIB00000001560
15	Jamaicamide A	CCMSLIB00000001562
17	Jamaicamide A	CCMSLIB00000001564
18	Jamaicamide A	CCMSLIB00000001565
75	Desferrioxamine E	CCMSLIB00000001622
88	Rifamycin W	CCMSLIB00000001635
90	Rifamycin W	CCMSLIB00000001637
98	Enterocin	CCMSLIB00000001645
100	Enterocin	CCMSLIB00000001647
104	Rifamycin S	CCMSLIB00000001651
106	Rifamycin S	CCMSLIB00000001653
123	Arenimycin A	CCMSLIB00000001670
125	7-OH-staurosporine	CCMSLIB00000001672
175	Cryptomaldamide	CCMSLIB00000001723
232	Curacin A (in 3L)	CCMSLIB00000001780
307	Abyssomicin C	CCMSLIB00000006865
313	Actinomycin D	CCMSLIB00000006871
369	pateamine	CCMSLIB00000007051
414	peloruside A	CCMSLIB00000007096
418	peloruside A	CCMSLIB00000007100
422	mycalamide A	CCMSLIB00000007104
427	pateamine	CCMSLIB00000007109
441	mycalamide E	CCMSLIB00000007123
541	Barbamide Cl35	CCMSLIB00000070253
542	Barbamide Cl37	CCMSLIB00000070254
615	Microcystin LR	CCMSLIB00000071748
621	Cyanopeptolin A	CCMSLIB00000071754
622	Cyanopeptolin B	CCMSLIB00000071755
623	Cyanopeptolin C	CCMSLIB00000071756
624	Cyanopeptolin 963A	CCMSLIB00000071757
625	Cyanopeptolin 963A	CCMSLIB00000071758
692	Desferrioxamine E	CCMSLIB00000072101
825	Prodigiosin	CCMSLIB00000072234
858	Surfactin	CCMSLIB00000072267
859	Surfactin	CCMSLIB00000072268
864	Surfactin	CCMSLIB00000072273
865	Surfactin	CCMSLIB00000072274
866	Surfactin	CCMSLIB00000072275
989	Mureidomycin B	CCMSLIB00000075009
996	Napsamycin C	CCMSLIB00000075016
1012	Erythromycin A	CCMSLIB00000075305
1013	Erythromycin A	CCMSLIB00000075306
1014	Kanamycin A	CCMSLIB00000075307
1015	Kanamycin A	CCMSLIB00000075308
1016	Streptomycin	CCMSLIB00000075309
1017	Streptomycin	CCMSLIB00000075310
1018	Vancomycin	CCMSLIB00000075311
1019	Vancomycin	CCMSLIB00000075312
1020	Desferrioxamine B	CCMSLIB00000075313
1027	Didemnin B	CCMSLIB00000075320
1028	Didemnin B	CCMSLIB00000075321
1029	Didemnin B	CCMSLIB00000075322
1030	Nordidemnin B	CCMSLIB00000075323
1031	Nordidemnin B	CCMSLIB00000075324
1032	Nordidemnin B	CCMSLIB00000075325
1038	Amphotericin B	CCMSLIB00000075331
1039	Amphotericin B	CCMSLIB00000075332
1108	Naringenin	CCMSLIB00000077217
1109	Naringenin_pos	CCMSLIB00000077218
1243	Ferrichrome	CCMSLIB00000078898
1296	Lomaiviticin C	CCMSLIB00000081196
1297	Lomaiviticin D	CCMSLIB00000081197
1298	Lomaiviticin E	CCMSLIB00000081198
1299	Lomaiviticin A	CCMSLIB00000081199
1300	Arenimycin A	CCMSLIB00000081200
1312	Massetolide A (WLIP/Viscosin/Massetolide molecular family)	CCMSLIB00000081213
1319	Spectra matches to compound Orfamide C	CCMSLIB00000081220
1325	onnamide A	CCMSLIB00000081226
1364	Physostigmine	CCMSLIB00000081265
1365	N-acetyl-5-hydroxytryptamine	CCMSLIB00000081266
1369	Gibberellic acid	CCMSLIB00000081270
1386	Monensin	CCMSLIB00000081287
1486	Aphidicolin	CCMSLIB00000081679
1487	Aphidicolin	CCMSLIB00000081680
1559	Alternariol	CCMSLIB00000081752
1655	Staurosporine	CCMSLIB00000223876
1656	Rosamicin	CCMSLIB00000223877
1658	Actinomycin D	CCMSLIB00000223879
1659	Cycloprodigiosin	CCMSLIB00000223880
1668	Retimycin A + 14 analogue	CCMSLIB00000223891
1679	Sevadicin	CCMSLIB00000223902
1731	Salinamide A	CCMSLIB00000223957
1752	Deferrioxamine E	CCMSLIB00000223993
1753	nostopeptolide A1	CCMSLIB00000223994
1757	Amphotericin B	CCMSLIB00000223998
1839	NARCOTIN	CCMSLIB00000424733
1876	Narcotine	CCMSLIB00000424771
1877	Narcotine	CCMSLIB00000424772
1878	Narcotine	CCMSLIB00000424773
1895	Emodin	CCMSLIB00000424790
1910	Amphotericin B	CCMSLIB00000424805
1911	Amphotericin B	CCMSLIB00000424806
1912	Amphotericin B	CCMSLIB00000424807
1913	Amphotericin B	CCMSLIB00000424808
1923	Puwainaphycin A	CCMSLIB00000424829
1924	Puwainaphycin A	CCMSLIB00000424830
1925	Puwainaphycin B	CCMSLIB00000424831
1926	Puwainaphycin B	CCMSLIB00000424832
1927	Puwainaphycin C	CCMSLIB00000424833
1928	Puwainaphycin C	CCMSLIB00000424834
1929	Puwainaphycin D	CCMSLIB00000424835
1930	Puwainaphycin D	CCMSLIB00000424836
1969	Tolytoxin	CCMSLIB00000424875
1970	Tolytoxin	CCMSLIB00000424876
1971	Tolytoxin	CCMSLIB00000424877
1972	Tolytoxin	CCMSLIB00000424878
1984	Ambiguine_C_isonitrile	CCMSLIB00000424890
1985	Ambiguine_C_isonitrile	CCMSLIB00000424891
1986	Ambiguine_E_isonitrile	CCMSLIB00000424892
