	NCBI_ID	Database	BioSample	LCMS_file	Genome_label	Method	New_NCBI_ID	Downloaded
0	VIKW01	GenBank_accession	SAMN12084250	ftp://massive.ucsd.edu/MSV000084950/peak/040220005.mzML	Anabaena sp. UHCC 0204	genome	GCA_009711975.1	yes
1	VILD01	GenBank_accession	SAMN12084370	ftp://massive.ucsd.edu/MSV000084950/peak/040220006.mzML	Anabaena sp. UHCC 0253	genome	GCA_009712085.1	yes
2	VILE01	GenBank_accession	SAMN12084395	ftp://massive.ucsd.edu/MSV000084950/peak/040220007.mzML	Dolichospermum planctonicum UHCC 0167	genome	GCA_009712075.1	yes
3	VILF01	GenBank_accession	SAMN12084379	ftp://massive.ucsd.edu/MSV000084950/peak/040220008.mzML	Dolichospermum flos-aquae UHCC 0037	genome	GCA_009712125.1	yes
4	VIKX01	GenBank_accession	SAMN12084251	ftp://massive.ucsd.edu/MSV000084950/peak/040220011.mzML	Dolichospermum sp. UHCC 0259	genome	GCA_009711935.1	yes
5	VIKZ01	GenBank_accession	SAMN12084254	ftp://massive.ucsd.edu/MSV000084950/peak/040220012.mzML	Dolichospermum sp. UHCC 0260	genome	GCA_009711985.1	yes
6	VIKV01	GenBank_accession	SAMN12084240	ftp://massive.ucsd.edu/MSV000084950/peak/040220013.mzML	Dolichospermum sp. UHCC 0299	genome	GCA_009711965.1	yes
7	VIKY01	GenBank_accession	SAMN12084252	ftp://massive.ucsd.edu/MSV000084950/peak/040220014.mzML	Dolichospermum sp. UHCC 0352	genome	GCA_009711925.1	yes
8	VILC01	GenBank_accession	SAMN12084337	ftp://massive.ucsd.edu/MSV000084950/peak/040220016.mzML	Aphanizomenon sp. UHCC 0183	genome	GCA_009712065.1	yes
9	VILB01	GenBank_accession	SAMN12084330	ftp://massive.ucsd.edu/MSV000084950/peak/040220021.mzML	Anabaena sp. UHCC 0187	genome	GCA_009712035.1	yes
10	VIKW01	GenBank_accession	SAMN12084250	ftp://massive.ucsd.edu/MSV000084950/peak/040220005.mzML	Anabaena sp. UHCC 0204	genome	GCA_009711975.1	yes
11	VILD01	GenBank_accession	SAMN12084370	ftp://massive.ucsd.edu/MSV000084950/peak/040220006.mzML	Anabaena sp. UHCC 0253	genome	GCA_009712085.1	yes
12	VILE01	GenBank_accession	SAMN12084395	ftp://massive.ucsd.edu/MSV000084950/peak/040220007.mzML	Dolichospermum planctonicum UHCC 0167	genome	GCA_009712075.1	yes
13	VILF01	GenBank_accession	SAMN12084379	ftp://massive.ucsd.edu/MSV000084950/peak/040220008.mzML	Dolichospermum flos-aquae UHCC 0037	genome	GCA_009712125.1	yes
14	VIKX01	GenBank_accession	SAMN12084251	ftp://massive.ucsd.edu/MSV000084950/peak/040220011.mzML	Dolichospermum sp. UHCC 0259	genome	GCA_009711935.1	yes
15	VIKZ01	GenBank_accession	SAMN12084254	ftp://massive.ucsd.edu/MSV000084950/peak/040220012.mzML	Dolichospermum sp. UHCC 0260	genome	GCA_009711985.1	yes
16	VIKV01	GenBank_accession	SAMN12084240	ftp://massive.ucsd.edu/MSV000084950/peak/040220013.mzML	Dolichospermum sp. UHCC 0299	genome	GCA_009711965.1	yes
17	VIKY01	GenBank_accession	SAMN12084252	ftp://massive.ucsd.edu/MSV000084950/peak/040220014.mzML	Dolichospermum sp. UHCC 0352	genome	GCA_009711925.1	yes
18	VILC01	GenBank_accession	SAMN12084337	ftp://massive.ucsd.edu/MSV000084950/peak/040220016.mzML	Aphanizomenon sp. UHCC 0183	genome	GCA_009712065.1	yes
19	VILB01	GenBank_accession	SAMN12084330	ftp://massive.ucsd.edu/MSV000084950/peak/040220021.mzML	Anabaena sp. UHCC 0187	genome	GCA_009712035.1	yes
20	ERS4346398	ENA_NCBI_accession	ERS4346398	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84682_BE6_01_35592.mzXML	ERS4346398	metagenome	ERS4346398	yes
21	ERS4346399	ENA_NCBI_accession	ERS4346399	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84683_BE8_01_35597.mzXML	ERS4346399	metagenome	ERS4346399	yes
22	ERS4346400	ENA_NCBI_accession	ERS4346400	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84684_RC8_01_35458.mzXML	ERS4346400	metagenome	ERS4346400	yes
23	ERS4346402	ENA_NCBI_accession	ERS4346402	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84686_RF9_01_35499.mzXML	ERS4346402	metagenome	ERS4346402	yes
24	ERS4346403	ENA_NCBI_accession	ERS4346403	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84687_BC4_01_35563.mzXML	ERS4346403	metagenome	ERS4346403	yes
25	ERS4346404	ENA_NCBI_accession	ERS4346404	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84688_BF11_01_35612.mzXML	ERS4346404	metagenome	ERS4346404	yes
26	ERS4346406	ENA_NCBI_accession	ERS4346406	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84690_RF6_01_35496.mzXML	ERS4346406	metagenome	ERS4346406	yes
27	ERS4341364	ENA_NCBI_accession	ERS4341364	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84691_RD2_01_35464.mzXML	ERS4341364	metagenome	ERS4341364	yes
28	ERS4341365	ENA_NCBI_accession	ERS4341365	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84693_RE4_01_35481.mzXML	ERS4341365	metagenome	ERS4341365	yes
29	ERS4346409	ENA_NCBI_accession	ERS4346409	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84695_BH11_01_35648.mzXML	ERS4346409	metagenome	ERS4346409	yes
30	ERS4346410	ENA_NCBI_accession	ERS4346410	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84696_RE5_01_35482.mzXML	ERS4346410	metagenome	ERS4346410	yes
31	ERS4346411	ENA_NCBI_accession	ERS4346411	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84697_RG8_01_35512.mzXML	ERS4346411	metagenome	ERS4346411	yes
32	ERS4346412	ENA_NCBI_accession	ERS4346412	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84698_RA11_01_35436.mzXML	ERS4346412	metagenome	ERS4346412	yes
33	ERS4346413	ENA_NCBI_accession	ERS4346413	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84699_RC9_01_35459.mzXML	ERS4346413	metagenome	ERS4346413	yes
34	ERS4346414	ENA_NCBI_accession	ERS4346414	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84700_BE2_01_35588.mzXML	ERS4346414	metagenome	ERS4346414	yes
35	ERS4346415	ENA_NCBI_accession	ERS4346415	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84701_RF11_01_35501.mzXML	ERS4346415	metagenome	ERS4346415	yes
36	ERS4346417	ENA_NCBI_accession	ERS4346417	ftp://massive.ucsd.edu/MSV000082969/peak/data_mzxml/data_mzxml_20180912_New/G84703_BG2_01_35791.mzXML	ERS4346417	metagenome	ERS4346417	yes
